Source,rr_id,seqnames,start,end
PM_GWAS_significant,chr1A:259441852-259450580,chr1A,259441852,259450580
PM_GWAS_significant,chr1A:258855989-258859323,chr1A,258855989,258859323
HD_GWAS_significant,chr2A:41302672-41305787,chr2A,41302672,41305787
HD_GWAS_significant,chr2A:41393302-41398472,chr2A,41393302,41398472
HD_GWAS_significant,chr2A:41236455-41238912,chr2A,41236455,41238912
HD_GWAS_significant,chr2A:41488196-41491193,chr2A,41488196,41491193
HD_GWAS_significant,chr2A:40752625-40756763,chr2A,40752625,40756763
HD_GWAS_significant,chr2A:40765741-40769154,chr2A,40765741,40769154
HD_GWAS_significant,chr2A:40797394-40801734,chr2A,40797394,40801734
HD_GWAS_significant,chr2A:40948394-40954047,chr2A,40948394,40954047
PM_GWAS_significant,chr2A:786235411-786240582,chr2A,786235411,786240582
PM_GWAS_significant,chr2A:786635216-786640221,chr2A,786635216,786640221
PM_GWAS_significant,chr2A:786240583-786243364,chr2A,786240583,786243364
PM_GWAS_significant,chr2A:786641299-786645992,chr2A,786641299,786645992
PM_GWAS_significant,chr2A:786615149-786619335,chr2A,786615149,786619335
PM_GWAS_significant,chr2A:786104298-786109658,chr2A,786104298,786109658
HD_GWAS_significant,chr2D:31411462-31415806,chr2D,31411462,31415806
HD_GWAS_significant,chr2D:31698093-31705264,chr2D,31698093,31705264
HD_GWAS_significant,chr2D:31485532-31490516,chr2D,31485532,31490516
HD_GWAS_significant,chr2D:36627456-36629723,chr2D,36627456,36629723
HD_GWAS_significant,chr2D:36203982-36210203,chr2D,36203982,36210203
HD_GWAS_significant,chr2D:32111069-32114330,chr2D,32111069,32114330
HD_GWAS_significant,chr2D:36830987-36834947,chr2D,36830987,36834947
HD_GWAS_significant,chr2D:32496806-32499467,chr2D,32496806,32499467
HD_GWAS_significant,chr2D:35972415-35979494,chr2D,35972415,35979494
HD_GWAS_significant,chr2D:32049493-32052746,chr2D,32049493,32052746
HD_GWAS_significant,chr2D:31120983-31127971,chr2D,31120983,31127971
HD_GWAS_significant,chr2D:32397510-32404621,chr2D,32397510,32404621
HD_GWAS_significant,chr2D:32482581-32485646,chr2D,32482581,32485646
HD_GWAS_significant,chr2D:32299757-32303009,chr2D,32299757,32303009
HD_GWAS_significant,chr2D:31451923-31456883,chr2D,31451923,31456883
HD_GWAS_significant,chr2D:34898877-34903111,chr2D,34898877,34903111
HD_GWAS_significant,chr2D:36187039-36188676,chr2D,36187039,36188676
HD_GWAS_significant,chr2D:32506480-32511686,chr2D,32506480,32511686
HD_GWAS_significant,chr2D:31148824-31152970,chr2D,31148824,31152970
HD_GWAS_significant,chr2D:32461216-32463893,chr2D,32461216,32463893
HD_GWAS_significant,chr2D:40863952-40867276,chr2D,40863952,40867276
HD_GWAS_significant,chr2D:31838208-31841607,chr2D,31838208,31841607
HD_GWAS_significant,chr2D:32516097-32520269,chr2D,32516097,32520269
HD_GWAS_significant,chr2D:32313464-32326986,chr2D,32313464,32326986
HD_GWAS_significant,chr2D:34240728-34251589,chr2D,34240728,34251589
HD_GWAS_significant,chr2D:31643551-31648738,chr2D,31643551,31648738
HD_GWAS_significant,chr2D:38725009-38727631,chr2D,38725009,38727631
HD_GWAS_significant,chr2D:40481068-40485394,chr2D,40481068,40485394
HD_GWAS_significant,chr2D:32388047-32391660,chr2D,32388047,32391660
HD_GWAS_significant,chr2D:32465506-32472387,chr2D,32465506,32472387
HD_GWAS_significant,chr2D:30949121-30951960,chr2D,30949121,30951960
HD_GWAS_significant,chr2D:37140547-37146138,chr2D,37140547,37146138
HD_GWAS_significant,chr2D:35980779-35983809,chr2D,35980779,35983809
HD_GWAS_significant,chr2D:35219476-35224702,chr2D,35219476,35224702
HD_GWAS_significant,chr2D:34007129-34012192,chr2D,34007129,34012192
HD_GWAS_significant,chr2D:33787483-33791158,chr2D,33787483,33791158
HD_GWAS_significant,chr2D:31490517-31494404,chr2D,31490517,31494404
HD_GWAS_significant,chr2D:35834969-35837969,chr2D,35834969,35837969
HD_GWAS_significant,chr2D:36188677-36190088,chr2D,36188677,36190088
HD_GWAS_significant,chr2D:32715318-32720575,chr2D,32715318,32720575
HD_GWAS_significant,chr2D:38668449-38673955,chr2D,38668449,38673955
HD_GWAS_significant,chr2D:38162215-38168196,chr2D,38162215,38168196
HD_GWAS_significant,chr2D:38516810-38523736,chr2D,38516810,38523736
HD_GWAS_significant,chr2D:33565365-33570442,chr2D,33565365,33570442
HD_GWAS_significant,chr2D:32542444-32551454,chr2D,32542444,32551454
HD_GWAS_significant,chr2D:31245309-31248987,chr2D,31245309,31248987
HD_GWAS_significant,chr2D:34617129-34620480,chr2D,34617129,34620480
Height_GWAS_significant,chr4D:344449286-344455443,chr4D,344449286,344455443
Height_GWAS_significant,chr4D:21346042-21349273,chr4D,21346042,21349273
HD_GWAS_significant,chr5A:585548051-585550635,chr5A,585548051,585550635
