Chromosome	Start	Centromere_start	Centromere_end	End
1A	1	213000000	219000000	598660471
1B	1	237030000	243640000	700547350
1D	1	171420000	179620000	498638509
2A	1	346060000	351720000	787782082
2B	1	366880000	372670000	812755788
2D	1	268860000	275950000	656544405
3A	1	332520000	337520000	754128162
3B	1	362130000	364970000	851934019
3D	1	252420000	257920000	619618552
4A	1	289530000	295070000	754227511
4B	1	328980000	334240000	673810255
4D	1	186450000	191230000	518332611
5A	1	253620000	259520000	713360525
5B	1	212780000	217220000	714697677
5D	1	193400000	199190000	569951140
6A	1	285880000	294270000	622669697
6B	1	346320000	351680000	731188232
6D	1	239110000	244420000	495380293
7A	1	367780000	373110000	744491536
7B	1	315400000	319880000	764072961
7D	1	347720000	352680000	642921167
